,Element,description,URI,Label,Status,ParentClass,Properties,InheritedProperties,Subclasses,SeeAlso,FRBRElement,Range,Domain
exchange_item,property,"A person, a group of person or an organization exchanging an exemplar of a single manifestation.",http://purl.org/ontology/mo/exchange_item,exchange_item,stable,,,,,,,http://purl.org/vocab/frbr/core#Item,foaf:Agent
fanpage,property,Used to link an artist to a fan-created webpage devoted to that artist.,http://purl.org/ontology/mo/fanpage,fanpage,stable,,,,,,,foaf:Document,MusicArtist
free_download,property,"This property can be used to link from a person to the website where they make their works available, or from         a manifestation (a track or an album, for example) to a web page where it is available for free          download.          This property MUST be used only if the content is just available through a web page (holding, for example         a Flash application) - it is better to link to actual content directly through the use of mo:available_as and          mo:Stream, mo:Torrent or mo:ED2K, etc. Therefore, Semantic Web user agents that don't know how to read HTML and even         less to rip streams from Flash applications can still access the audio content.",http://purl.org/ontology/mo/free_download,free download,stable,,,,,,,foaf:Document,genid40
freedownload,property,,http://purl.org/ontology/mo/freedownload,,deprecated,,,,,,,,
genre,property,Associates an event (like a performance or a recording) to a particular musical genre.         Further version of this property may also include works and scores in the domain.,http://purl.org/ontology/mo/genre,genre,stable,,,,,,,Genre,genid44
grid,property,"The Global Release Identifier (GRid) is a system for uniquely identifying Releases of music over electronic networks (that is, online stores where you can buy music as digital files). As that it can be seen as the equivalent of the BarCode (or more correctly the GTIN) as found on physical releases of music. Like the ISRC (a code for identifying single recordings as found on releases) it was developed by the IFPI but it does not appear to be a standard of the ISO.",http://purl.org/ontology/mo/grid,GRid,testing,,,,,,,xsd:string,Release
group,property,Relates a membership event with the corresponding group,http://purl.org/ontology/mo/group,group,testing,,,,,,,foaf:Group,Membership
origin,property,Relates an artist to its geographic origin,http://purl.org/ontology/mo/origin,origin,testing,,,,,,,geo:SpatialThing,MusicArtist
gtin,property,GTIN is a grouping term for EANs and UPCs. In common speech those are called barcodes although the barcodes are just a representation of those identifying numbers.,http://purl.org/ontology/mo/gtin,gtin,testing,,,,,,,xsd:string,Release
has_track,property,,http://purl.org/ontology/mo/has_track,,deprecated,,,,,,,,
headliner,property,Relates a performance to the headliner(s) involved,http://purl.org/ontology/mo/headliner,headliner,testing,,,,,,,,
homepage,property,"Links an artist, a record, etc. to a corresponding web page",http://purl.org/ontology/mo/homepage,homepage,stable,,,,,,,foaf:Document,genid55
image,property,"Indicates a pictorial image (JPEG, GIF, PNG, Etc.) of a musical work, the expression of a musical work, the manifestation of a work or the examplar of a manifestation.",http://purl.org/ontology/mo/image,image,stable,,,,,,,foaf:Image,genid61
imdb,property,"Used to link an artist, a musical work or the expression of a musical work to their equivalent page on IMDb, the InternetMovieDatabase.",http://purl.org/ontology/mo/imdb,imdb,stable,,,,,,,foaf:Document,genid67
instrument,property,Relates a performance to a musical instrument involved,http://purl.org/ontology/mo/instrument,,stable,,,,,,,Instrument,Performance
interpreter,property,"Adds an involved music artist, who interpreted, remixed, or otherwise modified an existing signal, which resulted in the signal that is here the subject of this relation.",http://purl.org/ontology/mo/interpreter,has interpeter,testing,,,,,,,MusicArtist,Signal
ipi,property,The Interested Parties Information Code (IPI) is an ISO standard similar to ISBNs for identifying the people or groups with some involvement with a particular musical work / compositions.,http://purl.org/ontology/mo/ipi,ipi,testing,,,,,,,xsd:string,MusicArtist
ismn,property,The International Standard Music Number (ISMN) is an ISO standard similar to ISBNs for identifying printed music publications,http://purl.org/ontology/mo/ismn,ismn,testing,,,,,,,xsd:string,genid73
isrc,property,The ISRC (International Standard Recording Code) is the international identification system for sound recordings and music videorecordings.      Each ISRC is a unique and permanent identifier for a specific recording which can be permanently encoded into a product as its digital fingerprint.      Encoded ISRC provide the means to automatically identify recordings for royalty payments.,http://purl.org/ontology/mo/isrc,isrc,stable,,,,,,,xsd:string,Signal
iswc,property,Links a musical work to the corresponding ISWC number,http://purl.org/ontology/mo/iswc,iswc,testing,,,,,,,xsd:string,MusicalWork
item,property,"Relates a musical manifestation to a musical item (this album, and my particular cd) holding the                 entire manifestation, and not just a part of it.",http://purl.org/ontology/mo/item,,testing,,,,,,,MusicalItem,MusicalManifestation
key,property,"Indicated the key used by the musicians during a performance, or the key of a MusicalWork.         Any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music.",http://purl.org/ontology/mo/key,key,stable,,,,,,,http://purl.org/NET/c4dm/keys.owl#Key,genid77
label,property,Associates a release event with the label releasing the record,http://purl.org/ontology/mo/label,label,testing,,,,,,,Label,genid81
lc,property,"The Label Code (LC) was introduced in 1977 by the IFPI (International Federation of Phonogram and Videogram Industries) in order to unmistakably identify the different record labels (see Introduction, Record labels) for rights purposes. The Label Code consists historically of 4 figures, presently being extended to 5 figures, preceded by LC and a dash (e.g. LC-0193 = Electrola; LC-0233 = His Master's Voice). Note that the number of countries using the LC is limited, and that the code given on the item is not always accurate.",http://purl.org/ontology/mo/lc,lc,testing,,,,,,,xsd:string,Label
licence,property,"Used to link a work or the expression of a work to the license under which they can be manipulated (downloaded, modified, etc).       This is usually used to link to a Creative Commons licence.",http://purl.org/ontology/mo/licence,licence,stable,,,,,,,http://web.resource.org/cc/License,genid84
listened,property,Relates agents to the performances they were listening in,http://purl.org/ontology/mo/listened,listened,unstable,,,,,,,Performance,foaf:Agent
listener,property,Relates a performance to the listener involved,http://purl.org/ontology/mo/listener,,stable,,,,,,,foaf:Agent,Performance
mailorder,property,Used to link a musical work or the expression of a musical work to a website where people can buy a copy of the musical manifestation.,http://purl.org/ontology/mo/mailorder,mailorder,stable,,,,,,,foaf:Document,genid88
mashup_of,property,"Indicates that musical works or the expressions of a musical work were mashed up on this album or track.       This means that two musical works or the expressions of a musical work by different artists are mixed together, over each other, or otherwise combined into a single musical work (usually by a third artist, the remixer).",http://purl.org/ontology/mo/mashup_of,mashup_of,unstable,,,,,,,,
media_type,property,"The mediatype (file format or MIME type, or physical medium) of a musical manifestation, e.g. a MP3, CD or vinyl.",http://purl.org/ontology/mo/media_type,has media type,testing,,,,,,,dc:MediaType,MusicalManifestation
medley_of,property,Indicates that a musical expression is a medley of several other musical expressions.       This means that the orignial musical expression were rearranged to create a new musical expression in the form of a medley.,http://purl.org/ontology/mo/medley_of,medley_of,unstable,,,,,,,,
member,property,Indicates a member of a musical group,http://purl.org/ontology/mo/member,member,stable,,,,,,,foaf:Agent,MusicGroup
member_of,property,Inverse of the foaf:member property,http://purl.org/ontology/mo/member_of,member_of,unstable,,,,,,,foaf:Group,foaf:Agent
membership,property,Relates an agent with related membership events,http://purl.org/ontology/mo/membership,membership,testing,,,,,,,Membership,foaf:Agent
meter,property,Associates a musical work or a score with its meter,http://purl.org/ontology/mo/meter,meter,testing,,,,,,,,genid92
movement,property,Indicates that a musical work has movements,http://purl.org/ontology/mo/movement,has_movement,unstable,,,,,,,Movement,MusicalWork
movement_number,property,Indicates the position of a movement in a musical work.,http://purl.org/ontology/mo/movement_number,movement number,unstable,,,,,,,xsd:int,Movement
musicbrainz,property,"Linking an agent, a track or a record to its corresponding Musicbrainz page.",http://purl.org/ontology/mo/musicbrainz,musicbrainz,stable,,,,,,,foaf:Document,genid95
musicbrainz_guid,property,Links an object to the corresponding Musicbrainz identifier,http://purl.org/ontology/mo/musicbrainz_guid,Musicbrainz GUID,testing,,,,,,,,genid100
musicmoz,property,"Used to link an artist, a musical work or the expression of a musical work to its corresponding MusicMoz page.",http://purl.org/ontology/mo/musicmoz,musicmoz,stable,,,,,,,foaf:Document,genid108
myspace,property,Used to link a person to its corresponding MySpace page.,http://purl.org/ontology/mo/myspace,myspace,stable,,,,,,,foaf:Document,foaf:Agent
olga,property,Used to link a track to a tabulature file for track in the On-Line Guitar Archive.,http://purl.org/ontology/mo/olga,olga,stable,,,,,,,foaf:Document,Track
onlinecommunity,property,"Used to link a person with an online community web page like a blog, a wiki, a forum, a livejournal page, Etc.",http://purl.org/ontology/mo/onlinecommunity,onlinecommunity,stable,,,,,,,foaf:Document,foaf:Agent
opus,property,"Used to define a creative work, especially a musical composition numbered to designate the order of a composer's works.",http://purl.org/ontology/mo/opus,opus,stable,,,,,,,rdfs:Literal,MusicalWork
other_release_of,property,Indicates that two musical manifestations are essentially the same.,http://purl.org/ontology/mo/other_release_of,other_release_of,unstable,,,,,,,MusicalManifestation,MusicalManifestation
paid_download,property,"Provide a link from an artist to a web page where all of that artist's musical work is available for some money,                 or a link from a manifestation (record/track, for example) to a web page providing a paid access to this manifestation.",http://purl.org/ontology/mo/paid_download,paid download,stable,,,,,,,foaf:Document,genid113
paiddownload,property,,http://purl.org/ontology/mo/paiddownload,,deprecated,,,,,,,,
performance_of,property,"Associates a Performance to a musical work or an arrangement that is being used as a factor in it.         For example, I might use this property to attach the Magic Flute musical work to          a particular Performance.",http://purl.org/ontology/mo/performance_of,performance of,unstable,,,,,,,genid117,Performance
performed,property,Relates agents to the performances they were performing in,http://purl.org/ontology/mo/performed,performed,unstable,,,,,,,Performance,foaf:Agent
performed_in,property,"Associates a Musical Work or an Score to Performances in which they were         a factor. For example, I might use this property in order to          associate the Magic Flute to a particular performance at the Opera         Bastille last year.",http://purl.org/ontology/mo/performed_in,performed in,unstable,,,,,,,Performance,genid120
performer,property,Relates a performance to the performers involved,http://purl.org/ontology/mo/performer,,stable,,,,,,,foaf:Agent,Performance
possess_item,property,"A person, a group of person or an organization possessing an exemplar of a single manifestation.",http://purl.org/ontology/mo/possess_item,possess_item,stable,,,,,,,http://purl.org/vocab/frbr/core#Item,foaf:Agent
preview,property,"Relates a musical manifestation to a musical item (this album, and my particular cd), which holds                 a preview of the manifestation (eg. one track for an album, or a snippet for a track)",http://purl.org/ontology/mo/preview,,testing,,,,,,,MusicalItem,MusicalManifestation
preview_download,property,"This property can be used to link from a person to the website where they make previews of their works available, or from                 a manifestation (a track or an album, for example) to a web page where a preview download is available.                  This property MUST be used only if the content is just available through a web page (holding, for example                 a Flash application) - it is better to link to actual content directly through the use of mo:available_as and                 mo:Stream, mo:Torrent or mo:ED2K, etc. Therefore, Semantic Web user agents that don't know how to read HTML and even                 less to rip streams from Flash applications can still access the audio content.",http://purl.org/ontology/mo/preview_download,preview download,stable,,,,,,,foaf:Document,genid123
primary_instrument,property,"Indicates that an artist primarily plays an instrument, or that a member was primarily playing a particular instrument during his membership",http://purl.org/ontology/mo/primary_instrument,primary instrument,testing,,,,,,,Instrument,genid127
produced,property,Used to relate an person or a group of person who produced the manifestation of a work.,http://purl.org/ontology/mo/produced,produced,stable,,,,,,,MusicalManifestation,foaf:Agent
produced_score,property,"Associates an arrangement or a composition event to a score product (score here does not refer to a published score, but more         an abstract arrangement of a particular work).",http://purl.org/ontology/mo/produced_score,produced score,unstable,,,,,,,Score,genid130
produced_signal,property,Associates a Recording to the outputted signal.,http://purl.org/ontology/mo/produced_signal,produced signal,stable,,,,,,,Signal,Recording
produced_signal_group,property,Associates a recording session with a group of master signals produced by it.,http://purl.org/ontology/mo/produced_signal_group,produced signal group,testing,,,,,,,SignalGroup,RecordingSession
produced_sound,property,Associates a Performance to a physical Sound that is being produced by it.,http://purl.org/ontology/mo/produced_sound,produced sound,stable,,,,,,,Sound,Performance
produced_work,property,"Associates a composition event to the produced MusicalWork. For example,                 this property could link the event corresponding to the composition of the                 Magic Flute in 1782 to the Magic Flute musical work itself. This musical work                 can then be used in particular performances.",http://purl.org/ontology/mo/produced_work,produced work,stable,,,,,,,MusicalWork,Composition
producer,property,Used to relate the manifestation of a work to a person or a group of person who produced it.,http://purl.org/ontology/mo/producer,producer,stable,,,,,,,foaf:Agent,MusicalManifestation
producesSignal,property,,http://purl.org/ontology/mo/producesSignal,,deprecated,,,,,,,,
producesSound,property,,http://purl.org/ontology/mo/producesSound,,deprecated,,,,,,,,
productOfComposition,property,,http://purl.org/ontology/mo/productOfComposition,,deprecated,,,,,,,,
publication_of,property,"Link a particular manifestation to the related signal, score, libretto, or lyrics",http://purl.org/ontology/mo/publication_of,publication of,unstable,,,,,,,MusicalExpression,MusicalManifestation
published,property,Used to relate an person or a group of person who published the manifestation of a work.,http://purl.org/ontology/mo/published,published,unstable,,,,,,,MusicalManifestation,foaf:Agent
published_as,property,Links a musical expression (e.g. a signal or a score) to one of its manifestations (e.g. a track on a particular record or a published score).,http://purl.org/ontology/mo/published_as,published as,stable,,,,,,,MusicalManifestation,MusicalExpression
publisher,property,Used to relate a musical manifestation to a person or a group of person who published it.,http://purl.org/ontology/mo/publisher,publisher,unstable,,,,,,,foaf:Agent,MusicalManifestation
publishing_location,property,Relates a musical manifestation to its publication location.,http://purl.org/ontology/mo/publishing_location,publishingLocation,stable,,,,,,,geo:SpatialThing,MusicalManifestation
puid,property,"Link a signal to the PUIDs associated with it, that is, PUID computed from MusicalItems (mo:AudioFile)          derived from this signal.         PUIDs (Portable Unique IDentifier) are the IDs used in the          proprietary MusicDNS AudioFingerprinting system which is operated by MusicIP.          Using PUIDs, one (with some luck) can identify the Signal object associated with a particular audio file, therefore allowing         to access further information (on which release this track is featured? etc.). Using some more metadata one can identify         the particular Track corresponding to the audio file (a track on a particular release).",http://purl.org/ontology/mo/puid,puid,stable,,,,,,,xsd:string,Signal
record,property,"Associates a release with the records it contains. A single release can be associated with multiple records, for example for a multi-disc release.",http://purl.org/ontology/mo/record,released record,testing,,,,,,,Record,Release
record_count,property,"Associates a release with the number of records it contains, e.g. the number of discs it contains in the case of a multi-disc release.",http://purl.org/ontology/mo/record_count,record count,testing,,,,,,,xsd:int,Release
record_number,property,"Indicates the position of a record in a release (e.g. a 2xLP, etc.).",http://purl.org/ontology/mo/record_number,has record number,testing,,,,,,,xsd:nonNegativeInteger,Record
record_side,property,"Associates the side on a vinyl record, where a track is located, e.g. A, B, C, etc. This property can then also be used  in conjunction with mo:track_number, so that one can infer e.g. ""A1"", that means, track number 1 on side A.",http://purl.org/ontology/mo/record_side,has record side,testing,,,,,,,xsd:string,Track
recorded_as,property,"This is a shortcut property, allowing to bypass all the Sound/Recording steps. This property         allows to directly link a Performance to the recorded Signal. This is recommended for ""normal""         users. However, advanced users wanting to express things such as the location of the microphone will         have to create this shortcut as well as the whole workflow, in order to let the ""normal"" users access         simply the, well, simple information:-) .",http://purl.org/ontology/mo/recorded_as,recorded as,stable,,,,,,,Signal,Performance
recorded_in,property,"Associates a physical Sound to a Recording event where it is being used          in order to produce a signal. For example, I might use this property to          associate the sound produced by a particular performance of the magic flute         to a given recording, done using my cell-phone.",http://purl.org/ontology/mo/recorded_in,recorded in,unstable,,,,,,,Recording,Sound
recording_of,property,"Associates a Recording event to a physical Sound being recorded.                 For example, I might use this property to                 associate a given recording, done using my cell phone, to the          sound produced by a particular performance of the magic flute.",http://purl.org/ontology/mo/recording_of,recorded sound,stable,,,,,,,Sound,Recording
records,property,"This is the inverse of the shortcut property recordedAs, allowing to relate directly a performance         to a signal.",http://purl.org/ontology/mo/records,records,unstable,,,,,,,Performance,Signal
release,property,Associates a release with the corresponding release event,http://purl.org/ontology/mo/release,release,testing,,,,,,,Release,ReleaseEvent
release_status,property,"Relates a musical manifestation to its release status (bootleg, ...)",http://purl.org/ontology/mo/release_status,,stable,,,,,,,ReleaseStatus,MusicalManifestation
release_type,property,"Relates a musical manifestation to its release type (interview, spoken word, album, ...)",http://purl.org/ontology/mo/release_type,,stable,,,,,,,ReleaseType,MusicalManifestation
remaster_of,property,"This relates two musical work or the expression of a musical work, where one is a remaster of the other.       A remaster is a new version made for release from source recordings that were earlier released separately. This is usually done to improve the audio quality or adjust for more modern playback equipment. The process generally doesn't involve changing the music in any artistically important way. It may, however, result in tracks that are a few seconds longer or shorter.",http://purl.org/ontology/mo/remaster_of,remaster_of,unstable,,,,,,,,
remix_of,property,Used to relate the remix of a musical work in a substantially altered version produced by mixing together individual tracks or segments of an original musical source work.,http://purl.org/ontology/mo/remix_of,remix_of,unstable,,,,,,,,
remixed,property,"Used to relate an artist who remixed a musical work or the expression of a musical work.       This involves taking just one other musical work and using audio editing to make it sound like a significantly different, but usually still recognisable, song. It can be used to link an artist to a single song that they remixed, or, if they remixed an entire musical work.",http://purl.org/ontology/mo/remixed,remixed,unstable,,,,,,,Signal,MusicArtist
remixer,property,"Used to relate a musical work or the expression of a musical work to an artist who remixed it.       This involves taking just one other musical work and using audio editing to make it sound like a significantly different, but usually still recognisable, song. It can be used to link an artist to a single song that they remixed, or, if they remixed an entire musical work.",http://purl.org/ontology/mo/remixer,remixer,unstable,,,,,,,,
review,property,"Used to link a work or the expression of a work to a review.       The review does not have to be open content, as long as it is accessible to the general internet population.",http://purl.org/ontology/mo/review,review,stable,,,,,,,foaf:Document,genid133
sample_rate,property,Associates a digital signal to its sample rate. It might be easier to express it this way instead of         defining a timeline map:-) Range is xsd:float.,http://purl.org/ontology/mo/sample_rate,,stable,,,,,,,xsd:float,DigitalSignal
sampled,property,Used to relate an artist who sampled a Signal.,http://purl.org/ontology/mo/sampled,sampled,unstable,,,,,,,Signal,MusicArtist
sampledVersionOf,property,,http://purl.org/ontology/mo/sampledVersionOf,,deprecated,,,,,,,,
sampled_version,property,Associates an analog signal with a sampled version of it,http://purl.org/ontology/mo/sampled_version,sampled version,stable,,,,,,,DigitalSignal,AnalogSignal
sampled_version_of,property,Associates a digital signal with the analog version of it,http://purl.org/ontology/mo/sampled_version_of,sampled version of,stable,,,,,,,AnalogSignal,DigitalSignal
sampler,property,Used to relate the signal of a musical work to an artist who sampled it.,http://purl.org/ontology/mo/sampler,sampler,unstable,,,,,,,,
sell_item,property,"A person, a group of person or an organization selling an exemplar of a single manifestation.",http://purl.org/ontology/mo/sell_item,sell_item,stable,,,,,,,http://purl.org/vocab/frbr/core#Item,foaf:Agent
signal,property,Associates a group of signals with one of the signals it contains,http://purl.org/ontology/mo/signal,signal,testing,,,,,,,Signal,SignalGroup
signalTime,property,,http://purl.org/ontology/mo/signalTime,,deprecated,,,,,,,,
similar_to,property,"A similarity relationships between two objects (so far, either an agent, a signal or a genre, but         this could grow).         This relationship is pretty general and doesn't make any assumptions on how the similarity claim         was derived.         Such similarity statements can come from a range of different sources (Musicbrainz similarities between         artists, or coming from some automatic content analysis).         However, the origin of such statements should be kept using a named graph approach - and ultimately, the          documents providing such statements should attach some metadata to themselves (confidence of the claim, etc.).",http://purl.org/ontology/mo/similar_to,similar_to,unstable,,,,,,,genid144,genid137
singer,property,Relates a performance to an involved singer,http://purl.org/ontology/mo/singer,,stable,,,,,,,foaf:Agent,Performance
supporting_musician,property,Used to relate an artist doing long-time instrumental or vocal support for another artist.,http://purl.org/ontology/mo/supporting_musician,supporting_musician,unstable,,,,,,,MusicArtist,MusicArtist
tempo,property,"Rate of speed or pace of music. Tempo markings are traditionally given in Italian;          common markings include: grave (solemn; very, very slow); largo (broad; very slow);          adagio (quite slow); andante (a walking pace); moderato (moderate); allegro (fast; cheerful);          vivace (lively); presto (very fast); accelerando (getting faster); ritardando (getting slower);          and a tempo (in time; returning to the original pace).",http://purl.org/ontology/mo/tempo,tempo,stable,,,,,,,xsd:string,genid151
lyrics,property,Associates lyrics with a musical work,http://purl.org/ontology/mo/lyrics,lyrics,testing,,,,,,,Lyrics,MusicalWork
text,property,Associates lyrics with their text.,http://purl.org/ontology/mo/text,text,testing,,,,,,,,Lyrics
time,property,Associates a Signal to a time object - its actual domain,http://purl.org/ontology/mo/time,time,stable,,,,,,,http://www.w3.org/2006/time#TemporalEntity,Signal
track,property,"Indicates a part of a musical manifestation - in this particular case, a track.",http://purl.org/ontology/mo/track,track,stable,,,,,,,Track,Record
trackNum,property,,http://purl.org/ontology/mo/trackNum,,deprecated,,,,,,,,
track_count,property,The track count of a record,http://purl.org/ontology/mo/track_count,track count,testing,,,,,,,xsd:int,Record
track_number,property,"Indicates the position of a track on a record medium (a CD, etc.).",http://purl.org/ontology/mo/track_number,track number,stable,,,,,,,xsd:nonNegativeInteger,Track
translation_of,property,Indicates that a work or the expression of a work has translated or transliterated into another expression of a work.,http://purl.org/ontology/mo/translation_of,translation_of,unstable,,,,,,,http://purl.org/vocab/frbr/core#Expression,http://purl.org/vocab/frbr/core#Expression
tribute_to,property,Indicates a musical work or the expression of a musical work that is a tribute to an artist - normally consisting of music being composed by the artist but performed by other artists.,http://purl.org/ontology/mo/tribute_to,tribute_to,unstable,,,,,,,MusicArtist,MusicalManifestation
trmid,property,Indicates the TRMID of a track.         TRM IDs are MusicBrainz' old AudioFingerprinting system.          TRM (TRM Recognizes Music) IDs are (somewhat) unique ids that represent          the audio signature of a musical piece (see AudioFingerprint).,http://purl.org/ontology/mo/trmid,trmid,stable,,,,,,,xsd:string,Signal
upc,property,"UPC stands for ""Universal Product Code"", which was the original barcode used in the United States and Canada. The UPC (now officially EAN.UCC-12 is a numerical method of identifying products without redundancy worldwide for all types of products in the retail sector. The EAN is a superset of the original UPC increasing the digits to 13 with the prefix 0 reserved for UPC. As of 2005, manufacturers are only allowed to use the new 13-digit codes on their items, rather than having two separate numbers.",http://purl.org/ontology/mo/upc,upc,testing,,,,,,,xsd:string,Release
usedInPerformance,property,,http://purl.org/ontology/mo/usedInPerformance,,deprecated,,,,,,,,
usedInRecording,property,,http://purl.org/ontology/mo/usedInRecording,,deprecated,,,,,,,,
usesSound,property,,http://purl.org/ontology/mo/usesSound,,deprecated,,,,,,,,
usesWork,property,,http://purl.org/ontology/mo/usesWork,,deprecated,,,,,,,,
want_item,property,"A person, a group of person or an organization wanting an exemplar of a single manifestation.",http://purl.org/ontology/mo/want_item,want_item,stable,,,,,,,http://purl.org/vocab/frbr/core#Item,foaf:Agent
wikipedia,property,"Used to link an work, an expression of a work, a manifestation of a work,          a person, an instrument or a musical genre to its corresponding WikiPedia page.          The full URL should be used, not just the WikiName.",http://purl.org/ontology/mo/wikipedia,wikipedia,stable,,,,,,,foaf:Document,genid155
album,individual,,http://purl.org/ontology/mo/album,,,,,,,,,,
audiobook,individual,,http://purl.org/ontology/mo/audiobook,,,,,,,,,,
bootleg,individual,,http://purl.org/ontology/mo/bootleg,,,,,,,,,,
compilation,individual,,http://purl.org/ontology/mo/compilation,,,,,,,,,,
ep,individual,,http://purl.org/ontology/mo/ep,,,,,,,,,,
interview,individual,,http://purl.org/ontology/mo/interview,,,,,,,,,,
live,individual,,http://purl.org/ontology/mo/live,,,,,,,,,,
official,individual,,http://purl.org/ontology/mo/official,,,,,,,,,,
promotion,individual,,http://purl.org/ontology/mo/promotion,,,,,,,,,,
remix,individual,,http://purl.org/ontology/mo/remix,,,,,,,,,,
single,individual,,http://purl.org/ontology/mo/single,,,,,,,,,,
soundtrack,individual,,http://purl.org/ontology/mo/soundtrack,,,,,,,,,,
spokenword,individual,,http://purl.org/ontology/mo/spokenword,,,,,,,,,,
